CSA2010,dirtyst15,clogged15,drvalone15,carpool15,pubtran15,walked15,trav14_15,trav29_15,trav44_15,trav45_15,cmos15,heatgas15,elheat15,novhcl15,weather15,treeplnt15
Community Statistical Areas,"Rate of Dirty Streets and Alleys Reports per 1,000 Residents","Rate of Clogged Storm Drain Reports per 1,000 Residents",Percent of Population that Drove Alone to Work,Percent of Population that Carpool to Work,Percent of Population that Uses Public Transportation to Get to Work,Percent of Population that Walks to Work,Percent of Employed Population with Travel Time to Work of 0-14 Minutes,Percent of Employed Population with Travel Time to Work of 15-29 Minutes,Percent of Employed Population with Travel Time to Work of 30-44 Minutes,Percent of Employed Population with Travel Time to Work of 45 Minutes and Over,Number of Community Managed Open Spaces,Percent of Residences Heated by Utility Gas,Percent of Residences Heated by Electricity,Percent of Households with No Vehicles Available,Percent of Residential Properties Weatherized,Number of Trees of Planted
Allendale/Irvington/S. Hilton,54.8,3.5,61.9,12.0,20.5,2.8,14.8,36.3,25.5,23.4,4,64.9,24.1,30.4,1.7, 	198 
Beechfield/Ten Hills/West Hills,16.2,2.4,72.3,10.3,13.0,1.6,13.1,45.4,25.4,16.2,0,72.0,16.8,21.1,0.7, 	19 
Belair-Edison,103.6,1.6,69.1,8.5,18.4,2.1,11.1,38.0,28.3,22.6,11,76.2,12.5,29.1,1.7, 	308 
Brooklyn/Curtis Bay/Hawkins Point,91.1,3.0,56.4,13.7,21.3,4.3,17.7,34.0,29.5,18.7,1,63.7,29.8,32.1,0.6, 	19 
Canton,49.5,4.2,77.7,7.1,4.3,4.8,19.0,37.7,27.6,15.8,0,62.3,32.9,9.1,0.1, 	18 
Cedonia/Frankford,24.0,1.8,67.1,11.1,16.6,0.7,11.5,37.1,30.4,21.0,2,71.0,21.7,24.6,0.8, 	110 
Cherry Hill,9.4,0.7,48.5,17.3,28.8,4.6,18.0,34.2,18.7,29.1,1,63.8,30.9,50.6,0.2, 	184 
Chinquapin Park/Belvedere,28.5,3.0,61.7,14.4,14.3,1.4,17.8,35.4,28.3,18.6,0,67.1,24.2,20.5,0.6, 	27 
Claremont/Armistead,16.3,3.0,60.3,11.1,23.4,3.0,12.1,34.3,28.2,25.3,0,78.2,17.4,30.3,0.0, 	28 
Clifton-Berea,168.1,3.3,53.3,6.4,31.3,6.4,11.8,39.2,24.9,24.2,33,62.2,18.0,43.4,1.6, 	344 
Cross-Country/Cheswolde,5.0,1.1,66.9,14.8,11.5,2.1,17.9,40.3,25.4,16.3,0,62.3,32.7,11.6,0.2, 	3 
Dickeyville/Franklintown,8.8,2.0,69.2,11.4,16.4,1.8,8.8,38.5,26.6,26.2,2,72.7,22.3,32.4,0.2,
Dorchester/Ashburton,36.7,1.6,62.3,6.3,25.3,1.8,14.7,37.6,24.9,22.8,3,75.3,15.2,28.9,1.1, 	81 
Downtown/Seton Hill,57.6,4.8,38.7,4.4,16.4,35.9,32.1,39.5,17.8,10.7,6,28.9,69.3,40.1,0.2, 	31 
Edmondson Village,33.4,1.0,49.5,15.2,30.6,1.5,9.0,34.9,29.4,26.7,1,56.6,26.7,27.4,1.1,
Fells Point,53.4,3.4,57.9,7.7,10.5,18.5,20.3,47.0,16.2,16.5,2,51.0,43.1,13.9,1.1, 	11 
Forest Park/Walbrook,49.0,2.6,63.2,11.4,18.1,2.5,8.0,44.1,26.4,21.5,2,78.2,15.1,29.2,0.5, 	10 
Glen-Fallstaff,21.1,1.0,58.6,11.9,20.5,4.8,18.2,36.0,28.2,17.6,2,66.3,28.1,24.9,0.7, 	38 
Greater Charles Village/Barclay,86.1,1.1,47.0,4.1,20.6,17.9,29.7,34.0,22.1,14.3,37,59.7,28.3,42.0,0.5, 	280 
Greater Govans,58.1,3.3,57.5,11.9,23.4,4.3,14.0,36.2,23.8,26.0,11,59.3,30.1,31.6,1.8, 	19 
Greater Mondawmin,67.8,4.1,55.7,9.4,30.1,2.0,11.6,37.6,22.2,28.5,7,68.3,25.4,36.2,0.6, 	74 
Greater Roland Park/Poplar Hill,9.1,8.5,74.1,6.3,6.5,3.5,23.1,43.5,20.2,13.2,0,62.4,20.7,5.1,0.0, 	66 
Greater Rosemont,79.3,4.5,54.9,6.6,30.2,2.8,10.9,35.3,28.7,25.1,5,78.9,12.7,39.8,1.0, 	143 
Greenmount East,170.8,4.3,39.6,9.0,39.3,8.6,11.4,34.6,26.0,28.1,136,57.5,33.1,57.3,4.3, 	167 
